drug name	indication
homochlorcyclizine	allergic rhinitis
homoharringtonine	chronic myeloid leukemia (CML)
hyaluronic-acid	osteoarthritis
hyaluronic-acid	interstitial cystitis (IC)
hycanthone	schistosomiasis
hydralazine	hypertension
hydrochlorothiazide	hypertension
hydrochlorothiazide	congestive heart failure
hydrocortisone	eczema
hydrocortisone	psoriasis
hydrocortisone	seborrheic dermatitis
hydrocortisone	itching
hydrocortisone-acetate	corticosteroid-responsive dermatoses
hydrocortisone-butyrate	corticosteroid-responsive dermatoses
hydrocortisone-butyrate	eczema
hydrocortisone-phosphate	asthma
hydrocortisone-phosphate	nausea
hydrocortisone-phosphate	vomiting
hydrocortisone-phosphate	multiple myeloma
hydrocortisone-phosphate	contact dermatitis
hydrocortisone-phosphate	enteritis
hydrocortisone-phosphate	colitis
hydrocortisone-valerate	corticosteroid-responsive dermatoses
hydroflumethiazide	edema
hydroflumethiazide	congestive heart failure
hydroflumethiazide	hepatic cirrhosis
hydroflumethiazide	nephrotic syndrome
hydroflumethiazide	chronic renal failure
hydroflumethiazide	acute glomerulonephritis (AGN)
hydroflumethiazide	hypertension
hydroquinidine	cardiac arrythmia
hydroquinone	dyschromia
hydroxyamphetamine	mydriasis
hydroxychloroquine	malaria
hydroxyprogesterone	spontaneous preterm birth
hydroxyurea	chronic myeloid leukemia (CML)
hydroxyurea	head and neck squamous cell carcinoma (HNSCC)
hydroxyzine	anxiety
hydroxyzine	urticaria
hydroxyzine	itching
hydroxyzine	dermatosis
hyoscyamine	peptic ulcer disease (PUD)
hyoscyamine	acute abdominal visceral spasm
hyoscyamine	ulcerative colitis
hyoscyamine	interstitial cystitis (IC)
hyoscyamine	enterocolitis
hyoscyamine	irritable bowel syndrome
hyoscyamine	tremors
hyoscyamine	allergic rhinitis
ibandronate	osteoporosis
ibrutinib	chronic lymphocytic leukemia (CLL)
ibrutinib	mantle cell lymphoma (MCL)
ibrutinib	Waldenstrom's macroglobulinemia (WM)
ibudilast	asthma
ibudilast	stroke
ibuprofen	headache
ibuprofen	muscle pain
ibuprofen	rheumatoid arthritis
ibuprofen	backache
ibuprofen	common cold
ibuprofen	menstrual pain
ibuprofen	fever
ibuprofen	toothache
ibuprofen-(s)	pain relief
ibuprofen-lysine	patent ductus arteriosus (PDA)
ibuprofen-piconol	pain relief
ibuproxam	fever
ibuproxam	joint inflammation
ibuproxam	pain relief
ibutilide	atrial fibrillation (AF)
icatibant-acetate	angioedema
icosapent	hypertriglyceridemia
icotinib	non-small cell lung cancer (NSCLC)
idarubicin	acute myeloid leukemia (AML)
idebenone	Alzheimer's disease
idebenone	Friedreich's ataxia
idebenone	Leber hereditary optic neuropathy (LHON)
idelalisib	chronic lymphocytic leukemia (CLL)
idoxuridine	virus herpes simplex (HSV)
ifosfamide	testicular carcinoma
ifosfamide	hemorrhagic cystitis
iguratimod	rheumatoid arthritis
ilaprazole	gastroesophageal reflux disease (GERD)
iloperidone	schizophrenia
iloprost	pulmonary arterial hypertension (PAH)
imatinib	chronic myeloid leukemia (CML)
imatinib	acute lymphoblastic leukemia (ALL)
imatinib	myelodysplastic diseases (MDS)
imatinib	aggressive systemic mastocytosis (ASM)
imatinib	hypereosinophilic syndrome (HES)
imatinib	chronic eosinophilic leukemia (CEL)
imatinib	dermatofibrosarcoma protuberans (DFSP)
imatinib	gastrointestinal stromal tumors (GIST)
imidafenacin	spasms
imidapril	hypertension
imidapril	congestive heart failure
imipenem	pneumonia
imipenem	urinary tract infections
imipenem	intra-abdominal infections
imipenem	gynecologic infections
imipenem	bacterial septicemia
imipenem	bone and joint infections
imipenem	skin infections
imipenem	endocarditis
imipramine	depression
imipramine	nocturnal enuresis
imiquimod	actinic keratosis (AK)
imiquimod	genital warts
imiquimod	basal cell carcinoma (BCC)
indacaterol	chronic obstructive pulmonary disease (COPD)
indapamide	hypertension
indapamide	congestive heart failure
indinavir	human immunodeficiency virus (HIV-1)
indobufen	thrombosis
indocyanine-green	vascular imaging agent
indomethacin	rheumatoid arthritis
indomethacin	ankylosing spondylitis
indomethacin	osteoarthritis
indomethacin	bursitis
indomethacin	tendinitis
indoramin	benign prostatic hyperplasia (BPH)
indoramin	hypertension
ingenol	keratosis
ingenol-mebutate	actinic keratosis (AK)
inositol	polycystic ovary syndrom (PCOS)
inositol-hexanicotinate	statis dermatitis
inositol-hexanicotinate	claudication
inositol-hexanicotinate	Raynaud's disease
inositol-hexanicotinate	hypertension
inositol-hexanicotinate	insomnia
inositol-hexanicotinate	atherosclerosis
inositol-hexanicotinate	restless leg syndrome
inositol-hexanicotinate	schizophrenia
inositol-hexanicotinate	psoriasis
inositol-hexanicotinate	acne vulgaris (AV)
iobenguane	neuroblastoma
iobenguane	congestive heart failure
iobenguane	pheochromocytoma
iocetamic-acid	contrast agent
iodipamide	contrast agent
iodixanol	contrast agent
iodoquinol	amebiasis
iohexol	contrast agent
iopamidol	contrast agent
iopodic-acid	contrast agent
iopromide	contrast agent
ioversol	contrast agent
ioxaglic-acid	contrast agent
ioxilan	angiography
ipragliflozin-l-proline	diabetes mellitus
ipratropium	bronchospasm
ipratropium	chronic obstructive pulmonary disease (COPD)
ipratropium	bronchitis
ipratropium	emphysema
ipriflavone	osteoporosis
irbesartan	hypertension
irbesartan	diabetic nephropathy
irinotecan	colorectal cancer
irsogladine	peptic ulcer disease (PUD)
isepamicin	pneumonia
isepamicin	peritonitis
isocarboxazid	depression
isoconazole	gram-positive bacterial infections
isoetharine	bronchospasm
isoetharine	asthma
isoflurane	general anaesthetic
isoflurophate	glaucoma
isometheptene-mucate	headache
isoniazid	tuberculosis
isopentyl-4-methoxycinnamate	sunscreen lotion
isoprenaline	bradycardia
isoprenaline	heart block
isoprenaline	asthma
isopropamide-iodide	peptic ulcer disease (PUD)
isopropamide-iodide	gastrointestinal acidosis
isopropyl-myristate	cosmetic
isopropyl-palmitate	cosmetic
isosorbide	angina pectoris
isosorbide	coronary artery disease (CAD)
isosorbide-dinitrate	angina pectoris
isosorbide-dinitrate	coronary artery disease (CAD)
isosorbide-mononitrate	angina pectoris
isosorbide-mononitrate	coronary artery disease (CAD)
isotretinoin	acne vulgaris (AV)
isoxsuprine	Raynaud's disease
isoxsuprine	arteriosclerosis
isoxsuprine	Buerger's disease
isradipine	hypertension
istradefylline	Parkinson's Disease
istradefylline	dyskinesia
itopride	dyspepsia
itopride	gastroparesis
itopride	heartburn
itopride	nausea
itopride	vomiting
itopride	anorexia
itraconazole	onychomycosis
itraconazole	histoplasmosis
itraconazole	blastomycosis
itraconazole	aspergillosis
ivabradine	angina pectoris
ivacaftor	cystic fibrosis
ivermectin	gastrointestinal roundworms
ivermectin	lungworms
ivermectin	cattle grubs
ivermectin	mites
ivermectin	lice
ivermectin	horn flies
ivosidenib	acute myeloid leukemia (AML)
ixabepilone	breast cancer
ixazomib	multiple myeloma
ixazomib-citrate	multiple myeloma
josamycin	bronchitis
kanamycin	gram-negative bacterial infections
ketanserin	hypertension
ketoconazole	seborrheic dermatitis
ketoprofen	rheumatoid arthritis
ketoprofen	osteoarthritis
ketorolac	pain relief
ketotifen	itching
kinetin	sunburn
labetalol	hypertension
lacidipine	hypertension
lacitol	constipation
lactulose	portal-systemic encephalopathy (PSE)
lafutidine	duodenal ulcer disease
lafutidine	peptic ulcer disease (PUD)
lamivudine	human immunodeficiency virus (HIV-1)
lamivudine	acquired immunodeficiency syndrome (AIDS)
lamivudine	hepatitis B
lamotrigine	epilepsy
lamotrigine	bipolar disorder
landiolol	cardiac arrythmia
lanoconazole	fungal infection
lansoprazole	heartburn
lapatinib	breast cancer
l-arginine	congestive heart failure
l-arginine	hypertension
l-arginine	coronary artery disease (CAD)
l-arginine	claudication
l-arginine	senile dementia
l-arginine	erectile dysfunction
l-arginine	infertility
l-arginine	common cold
laropiprant	cholesterol
lasalocid	coccidiosis
lasofoxifene	osteoporosis
lasofoxifene	breast cancer
latanoprost	ocular hypertension
latanoprost	glaucoma
l-citrulline	hypertension
l-citrulline	erectile dysfunction
l-cysteine	osteoarthritis
l-cysteine	rheumatoid arthritis
lcz696	angioedema
lcz696	hypotension
ledipasvir	hepatitis C
leflunomide	rheumatoid arthritis
lenalidomide	multiple myeloma
lenalidomide	mantle cell lymphoma (MCL)
lenalidomide	myelodysplastic diseases (MDS)
lenvatinib	thyroid cancer
lercanidipine	hypertension
lesinurad	gout
letermovir	cytomegalovirus (CMV)
letosteine	bronchitis
letosteine	pneumonia
letrozole	breast cancer
leucovorin	osteosarcoma
leuprolide	prostate cancer
levalbuterol	bronchospasm
levallorphan	respiratory depression
levamlodipine	hypertension
levetiracetam	seizures
levobetaxolol	intraocular pressure
levobetaxolol	glaucoma
levobunolol	glaucoma
levobunolol	ocular hypertension
levocabastine	conjunctivitis
levocarnitine	carnitine deficiency
levocarnitine-propionate	peripheral neuropathy
levocarnitine-propionate	carnitine deficiency
levocetirizine	allergic rhinitis
levocetirizine	urticaria
levodopa	Parkinson's Disease
levodropropizine	cough suppressant
levofloxacin	pneumonia
levofloxacin	sinusitis
levofloxacin	bronchitis
levofloxacin	skin infections
levofloxacin	prostatitis
levofloxacin	urinary tract infections
levofloxacin	pyelonephritis
levofloxacin	anthrax
levofloxacin	plague
levomenol	spasms
levomenol	skin infections
levomenthol	pain relief
levomepromazine	psychosis
levomepromazine	schizophrenia
levomepromazine	bipolar disorder
levomepromazine	nausea
levomepromazine	insomnia
levonordefrin	hemorrhage
levonorgestrel	contraceptive
levopropoxyphene	cough suppressant
levosimendan	congestive heart failure
levosulpiride	schizophrenia
levosulpiride	psychosis
levosulpiride	anxiety
levosulpiride	vertigo
levosulpiride	dyspepsia
levosulpiride	irritable bowel syndrome
levosulpiride	premature ejaculation (PE)
levothyroxine	myxedema coma
l-glutamine	diarrhea
l-glutamine	mucositis
l-glutamine	muscle pain
l-glutamine	joint pain
l-glutamine	peptic ulcer disease (PUD)
l-glutamine	ulcerative colitis
l-glutamine	Crohn's disease
l-glutamine	anxiety
l-glutamine	insomnia
lidamidine	diarrhea
lidocaine	itching
lidocaine	eczema
lidocaine	hemorrhage
lidoflazine	coronary artery disease (CAD)
lifitegrast	dry eye syndrome
limaprost-alfadex	claudication
linaclotide	irritable bowel syndrome
linaclotide	constipation
linagliptin	diabetes mellitus
lincomycin	enteritis
lindane	scabies
linezolid	pneumonia
linezolid	skin infections
linsidomine	erectile dysfunction
liothyronine	hypothyroidism
liothyronine	myxedema coma
liraglutide	weight-loss aid
liraglutide	diabetes mellitus
liranaftate	fungal infection
lisadimate	sunscreen lotion
lisinopril	hypertension
lisinopril	congestive heart failure
lisinopril	diabetes mellitus
lisuride	Parkinson's Disease
lithium-citrate	bipolar disorder
lithium-citrate	depression
l-methionine	asthma
l-methionine	allergic rhinitis
l-methionine	depression
l-methionine	Parkinson's Disease
l-methionine	schizophrenia
lobeline	smoking cessation
lobenzarit	rheumatoid arthritis
lodoxamide	vernal keratoconjunctivitis (VKC)
lofepramine	depression
lofexidine	opioid withdrawal
lomefloxacin	respiratory tract infections
lomefloxacin	urinary tract infections
lomerizine	migraine headache
lomitapide	hypercholesterolemia
lomustine	Hodgkin's lymphoma
lomustine	brain tumors
loperamide	diarrhea
lopinavir	human immunodeficiency virus (HIV-1)
loracarbef	ear infections
loracarbef	laryngitis
loracarbef	bronchitis
loracarbef	pneumonia
loracarbef	urinary tract infections
loracarbef	skin infections
loratadine	allergic rhinitis
loratadine	itching
lorlatinib	non-small cell lung cancer (NSCLC)
lornoxicam	osteoarthritis
lornoxicam	sciata
losartan	hypertension
losartan	diabetic nephropathy
losartan	hypertension
loteprednol	conjunctivitis
lovastatin	coronary heart disease
lovastatin	myocardial infarction
lovastatin	hypercholesterolemia
loxapine	schizophrenia
loxoprofen	pain relief
lubiprostone	constipation
lubiprostone	irritable bowel syndrome
lufenuron	flea control
luliconazole	tinea pedis
luliconazole	tinea cruris
luliconazole	tinea corporis
lumacaftor	cystic fibrosis
lumefantrine	malaria
lurasidone	schizophrenia
lutein	macular degeneration
lutein	cataracts
lutein	retinitis pigmentosa (RP)
lymecycline	acne vulgaris (AV)
lynestrenol	contraceptive
lypressin	central diabetes insipidus
mabuprofen	pain relief
mabuterol	asthma
macitentan	contraceptive
mafenide	first-aid antibiotic
mafenide	skin infections
malathion	lice
malotilate	hepatic cirrhosis
maltobionic-acid	cosmetic
mangafodipir	contrast agent
manidipine	hypertension
mannitol-d	intracranial pressure
mannitol-d	intraocular pressure
mannitol-d	constipation
maprotiline	depression
maprotiline	dysthymic disorder
maraviroc	human immunodeficiency virus (HIV-1)
marbofloxacin	gram-negative bacterial infections
maropitant	vomiting
masitinib	mastocytoma
masoprocol	actinic keratosis (AK)
maxacalcitol	hyperparathyroidism
mebendazole	pinworm
mebendazole	whipworm
mebendazole	hookworm
mebendazole	ascariasis
mebeverine	irritable bowel syndrome
mebhydrolin	allergic rhinitis
mebhydrolin	urticaria
mebicar	anxiety
mebrofenin	diagnostic agent
mecamylamine	hypertension
meclizine	nausea
meclizine	vomiting
meclizine	motion sickness
meclocycline-sulfosalicylate	acne vulgaris (AV)
meclocycline-sulfosalicylate	skin infections
meclofenamic-acid	joint pain
meclofenamic-acid	muscle pain
meclofenamic-acid	rheumatoid arthritis
meclofenamic-acid	primary dysmenorrhea (PD)
meclofenoxate	senile dementia
meclofenoxate	Alzheimer's disease
mecysteine	chest congestion
medetomidine	sedative
medronic-acid	skeletal imaging agent
medroxyprogesterone	contraceptive
medroxyprogesterone-acetate	contraceptive
medrysone	conjunctivitis
medrysone	episcleritis
mefenamic-acid	primary dysmenorrhea (PD)
mefloquine	malaria
megestrol	breast cancer
megestrol-acetate	anorexia
megestrol-acetate	cachexia
melatonin	sleep cycle support
meldonium	coronary artery disease (CAD)
melevodopa	Parkinson's Disease
meloxicam	osteoarthritis
meloxicam	rheumatoid arthritis
melperone	psychosis
melphalan	multiple myeloma
memantine	Alzheimer's disease
memantine	senile dementia
menadione	ulcerative colitis
menadione	diarrhea
menadione	headache
menadione	varicose veins
menadione	rheumatoid arthritis
menatetrenone	osteoporosis
menbutone	bile stimulation
mepacrine	giardiasis
mepenzolate	peptic ulcer disease (PUD)
mephenesin	muscle relaxant
mephentermine	hypotension
mephenytoin	seizures
mepivacaine	local anesthetic
meptazinol	pain relief
mepyramine	common cold
mepyramine	menstrual pain
mequinol	skin depigmentation
merbromin	first-aid antiseptic
mercaptopurine	acute lymphoblastic leukemia (ALL)
meropenem	skin infections
meropenem	intra-abdominal infections
meropenem	meningitis
mesalazine	ulcerative colitis
mesalazine	inflammatory bowel disease
mesna	hemorrhagic cystitis
mesoridazine	schizophrenia
mestinon	myasthenia gravis
mestranol	contraceptive
metaproterenol	bronchospasm
metaproterenol	asthma
metaproterenol	bronchitis
metaproterenol	emphysema
metaraminol	hypotension
metaxalone	muscle pain
metergoline	seasonal affective disorder
metergoline	anxiety
metergoline	hyperprolactinemia
metformin	diabetes mellitus
methacholine	bronchial hyperresponsiveness diagnostic
methacycline	bronchitis
methantheline	peptic ulcer disease (PUD)
methantheline	irritable bowel syndrome
methantheline	pancreatitis
methantheline	dyskinesia
methantheline	neurogenic bladder
metharbital	epilepsy
methazolamide	glaucoma
methazolamide	intraocular pressure
methenamine	urinary tract infections
methicillin	gram-negative bacterial infections
methicillin	gram-positive bacterial infections
methimazole	hyperthyroidism
methocarbamol	muscle relaxant
methotrexate	gestational choriocarcinoma
methotrexate	hydatidiform mole
methotrexate	acute lymphoblastic leukemia (ALL)
methotrexate	psoriasis
methotrexate	rheumatoid arthritis
methoxamine	hypotension
methoxsalen	psoriasis
methoxyflurane	general anaesthetic
methoxyphenamine	asthma
methscopolamine	peptic ulcer disease (PUD)
methsuximide	seizures
methyclothiazide	hypertension
methyclothiazide	edema
methyl-aminolevulinate	actinic keratosis (AK)
methyldopa	hypertension
methyldopate	hypertension
methylene-blue	methemoglobinemia
methylergometrine	postpartum hemorrhage (PPH)
methylergometrine	migraine headache
methylnaltrexone	constipation
methylparaben	cosmetic
methylprednisolone	hypercalcemia
methylprednisolone	thyroiditis
methylprednisolone	ankylosing spondylitis
methylprednisolone	bursitis
methylprednisolone	osteoarthritis
methylprednisolone	psoriatic arthritis
methylprednisolone	seborrheic dermatitis
methylprednisolone	mycosis
methylprednisolone	allergic rhinitis
methylprednisolone	psoriasis
methylprednisolone	anemia
methylprednisolone	multiple sclerosis
methylprednisolone	ulcerative colitis
methylprednisolone	enteritis
methylprednisolone-aceponate	congenital adrenal hyperplasia
methylprednisolone-aceponate	thyroiditis
methylprednisolone-aceponate	hypercalcemia
methylprednisolone-aceponate	rheumatoid arthritis
methylprednisolone-aceponate	bursitis
methylprednisolone-aceponate	epicondylitis
methylprednisolone-aceponate	allergic rhinitis
methylprednisolone-aceponate	asthma
methylprednisolone-aceponate	ulcerative colitis
methylprednisolone-aceponate	enteritis
methylprednisolone-aceponate	osteoarthritis
methylprednisolone-aceponate	psoriasis
methylprednisolone-aceponate	multiple sclerosis
methylprednisolone-aceponate	anemia
methylprednisolone-sodium-succinate	hypercalcemia
methylprednisolone-sodium-succinate	thyroiditis
methylprednisolone-sodium-succinate	osteoarthritis
methylprednisolone-sodium-succinate	rheumatoid arthritis
methylprednisolone-sodium-succinate	seborrheic dermatitis
methylprednisolone-sodium-succinate	asthma
methylprednisolone-sodium-succinate	allergic rhinitis
methylprednisolone-sodium-succinate	shingles
methylprednisolone-sodium-succinate	conjunctivitis
methylprednisolone-sodium-succinate	ulcerative colitis
methylprednisolone-sodium-succinate	enteritis
methylprednisolone-sodium-succinate	anemia
methylprednisolone-sodium-succinate	multiple sclerosis
methylprednisolone-sodium-succinate	mycosis
methyl-salicylate	fever
methyl-salicylate	pain relief
methylthiouracil	hyperthyroidism
methysergide	headache
meticrane	edema
metirosine	hypertension
metixene	Parkinson's Disease
metoclopramide	gastroparesis
metoclopramide	nausea
metoclopramide	vomiting
metocurine	muscle relaxant
metolazone	edema
metolazone	hypertension
metoprolol	hypertension
metoprolol	angina pectoris
metoprolol	myocardial infarction
metrizamide	contrast agent
metrizoic-acid	contrast agent
metronidazole	rosacea
metyrapone	adrenal diagnostic agent
mexiletine	ventricular arrhythmias
mexiletine	ventricular tachycardia (VT)
mezlocillin	gram-negative bacterial infections
mezlocillin	gram-positive bacterial infections
mianserin	depression
micafungin	candidemia
micafungin	peritonitis
micafungin	esophageal candidiasis
miconazole	yeast infection
miconazole	itching
micronomicin	gram-negative bacterial infections
midecamycin	respiratory tract infections
midecamycin	ear infections
midecamycin	skin infections
midodrine	hypotension
midostaurin	acute myeloid leukemia (AML)
mifepristone	hyperglycemia
mifepristone	diabetes mellitus
miglitol	diabetes mellitus
miglustat	Gaucher disease
milnacipran	fibromyalgia
milrinone	congestive heart failure
miltefosine	leishmaniasis
minocycline	fever
minocycline	respiratory tract infections
minocycline	psittacosis
minocycline	trachoma
minocycline	conjunctivitis
minocycline	urethritis
minocycline	chancroid
minocycline	tularemia
minocycline	cholera
minocycline	brucellosis
minodronic-acid	osteoporosis
minoxidil	androgenetic alopecia
miocamycin	urinary tract infections
miocamycin	chlamydia
mirabegron	urinary incontinence
miriplatin	hepatocellular carcinoma (HCC)
mirodenafil	erectile dysfunction
mirtazapine	depression
misoprostol	duodenal ulcer disease
mitiglinide	diabetes mellitus
mitomycin-c	pancreatic cancer
mitomycin-c	gastric adenocarcinoma
mitotane	adrenal cortical carcinoma
mitoxantrone	multiple sclerosis
mitoxantrone	prostate cancer
mitoxantrone	acute myeloid leukemia (AML)
mivacurium	endotracheal intubation
mivacurium	muscle relaxant
mizolastine	urticaria
mizolastine	allergic rhinitis
mizoribine	organ rejection
mizoribine	nephrotic syndrome
moclobemide	depression
moclobemide	anxiety
moexipril	hypertension
mofezolac	rheumatoid arthritis
mofezolac	osteoporosis
molindone	schizophrenia
molsidomine	coronary artery disease (CAD)
mometasone	corticosteroid-responsive dermatoses
mometasone-furoate	corticosteroid-responsive dermatoses
monensin	gastrointestinal parasites
monobenzone	skin depigmentation
monoctanoin	gallstones
monomethyl-fumarate	multiple sclerosis
montelukast	asthma
montelukast	allergic rhinitis
montelukast	exercise-induced bronchoconstriction (EIB)
moprolol	hypertension
moprolol	glaucoma
moprolol	anxiety
moracizine	ventricular arrhythmias
morantel	tapeworm
morniflumate	pain relief
moroxydine	influenza A virus infection
mosapride	hypertrophic gastritis (GHG)
mosapride	gastroesophageal reflux disease (GERD)
mosapride	dyspepsia
mosapride	irritable bowel syndrome
moxalactam	gram-positive bacterial infections
moxalactam	gram-negative bacterial infections
moxalactam	skin infections
moxalactam	bone and joint infections
moxalactam	pneumonia
moxalactam	urinary tract infections
moxalactam	meningitis
moxaverine	spasms
moxidectin	gastrointestinal parasites
moxifloxacin	sinusitis
moxifloxacin	bronchitis
moxifloxacin	pneumonia
moxifloxacin	skin infections
moxifloxacin	intra-abdominal infections
moxonidine	hypertension
mozavaptan	hyponatremia
mupirocin	impetigo
mycophenolate-mofetil	organ rejection
mycophenolic-acid	organ rejection
nabumetone	rheumatoid arthritis
nabumetone	osteoarthritis
nadifloxacin	acne vulgaris (AV)
nadifloxacin	skin infections
nadolol	angina pectoris
nadolol	hypertension
nafamostat	anticoagulent
nafcillin	gram-positive bacterial infections
naftidrofuryl	claudication
naftifine	tinea pedis
naftifine	tinea cruris
naftifine	tinea corporis
naftopidil	benign prostatic hyperplasia (BPH)
nalbuphine	pain relief
nalfurafine	uremic pruritus
nalidixic-acid	urinary tract infections
nalmefene	respiratory depression
naloxegol	constipation
naloxone	respiratory depression
naltrexone	abstinence from alcohol
naphazoline	eye irritation
naphthoquine-phosphate	malaria
naproxen	pain relief
naproxen	rheumatoid arthritis
naproxen	headache
naproxen	toothache
naproxen	backache
naproxen	muscle pain
naproxen	common cold
naproxen	fever
narasin	coccidiosis
naratriptan	migraine headache
natamycin	conjunctivitis
natamycin	fungal keratosis
natamycin	blepharitis
nateglinide	diabetes mellitus
nebivolol	hypertension
nedaplatin	non-small cell lung cancer (NSCLC)
nedaplatin	small cell lung cancer
nedaplatin	esophageal cancer
nedocromil	itching
nedocromil	conjunctivitis
nefopam	pain relief
nelarabine	acute lymphoblastic leukemia (ALL)
nelfinavir	human immunodeficiency virus (HIV-1)
nemonapride	schizophrenia
neo-gilurytmal	cardiac arrythmia
neomycin	first-aid antibiotic
neomycin	hepatic encephalopathy (HE)
neomycin	intra-abdominal infections
neostigmine	myasthenia gravis
nepafenac	eye inflammation
neratinib	breast cancer
neridronic-acid	brittle bone disease
neridronic-acid	Paget's disease
netilmicin	gram-negative bacterial infections
netupitant	nausea
netupitant	vomiting
nevirapine	human immunodeficiency virus (HIV-1)
niacin	hypertriglyceridemia
nicardipine	chronic stable angina
nicardipine	hypertension
nicergoline	Raynaud's disease
nicergoline	migraine headache
nicergoline	atherosclerosis
nicergoline	thrombosis
niceritrol	hyperlipidemia
niclosamide	tapeworm
nicorandil	angina pectoris
nicotinamide	acne vulgaris (AV)
nicotine	smoking cessation
nicotinyl-alcohol-tartrate	vascular spasm
nicotinyl-alcohol-tartrate	vertigo
nifedipine	vasospastic angina
nifedipine	chronic stable angina
nifekalant	ventricular arrhythmias
nifekalant	ventricular tachycardia (VT)
nifenazone	pain relief
niflumic-acid	joint pain
niflumic-acid	muscle pain
nifuroxazide	colitis
nifuroxazide	diarrhea
nifurtimox	Chagas disease
nifurtimox	African trypanosomiasis
nilotinib	chronic myeloid leukemia (CML)
nilutamide	prostate cancer
nilvadipine	hypertension
nilvadipine	cerebral artery occlusion
nimesulide	osteoarthritis
nimesulide	menstrual pain
nimodipine	hemorrhage
nimorazole	head and neck squamous cell carcinoma (HNSCC)
nintedanib	idiopathic pulmonary fibrosis (IPF)
niraparib	primary peritoneal cancer (PPC)
niridazole	schistosomiasis
nisoldipine	hypertension
nitarsone	blackhead disease
nitazoxanide	diarrhea
nitenpyram	flea control
nitisinone	tyrosinemia
nitrendipine	hypertension
nitrofurantoin	urinary tract infections
nitrofurantoin	pyelonephritis
nitrofurazone	first-aid antibiotic
nitromide	coccidiosis
nitroxoline	urinary tract infections
nizatidine	duodenal ulcer disease
nizatidine	erosive esophagitis (EE)
nizatidine	ulcerative esophagitis (UE)
nizatidine	gastroesophageal reflux disease (GERD)
nizofenone	stroke
nomegestrol-acetate	contraceptive
nonivamide	rheumatoid arthritis
nonivamide	muscle pain
nonoxynol-9	contraceptive
norelgestromin	contraceptive
norepinephrine	hypertension
norepinephrine	urticaria
norepinephrine	headache
norepinephrine	seasonal affective disorder
norethindrone	endometriosis
norethindrone-acetate	menopause
norethindrone-acetate	osteoporosis
norethindrone-acetate	vaginal atrophy
norethisterone-enanthate	contraceptive
noretynodrel	contraceptive
norfloxacin	urinary tract infections
norfloxacin	gonorrhea
norfloxacin	prostatitis
norgestimate	contraceptive
norgestrel	contraceptive
nortriptyline	depression
noscapine	cough suppressant
novobiocin	mastitis
nystatin	esophageal candidiasis
nystatin	skin infections
nystatin	yeast infection
obeticholic-acid	primary biliary cholangitis
obidoxime	poison antidote
obidoxime	nerve gas poisoning
octenidine	gram-negative bacterial infections
octenidine	gram-positive bacterial infections
octinoxate	sunscreen lotion
octisalate	sunscreen lotion
octocrylene	sunscreen lotion
octreotide	diarrhea
octreotide	acromegaly
octreotide	carcinoid tumors
ofloxacin	respiratory tract infections
ofloxacin	sinusitis
ofloxacin	skin infections
ofloxacin	bone and joint infections
ofloxacin	intra-abdominal infections
ofloxacin	diarrhea
ofloxacin	fever
ofloxacin	urinary tract infections
olanzapine	schizophrenia
olanzapine	bipolar disorder
olaparib	ovarian cancer
olmesartan	hypertension
olmesartan-medoxomil	hypertension
olmutinib	non-small cell lung cancer (NSCLC)
olopatadine	conjunctivitis
olprinone	congestive heart failure
olsalazine	ulcerative colitis
omadacycline	pneumonia
omarigliptin	diabetes mellitus
ombitasvir	hepatitis C
omeprazole	heartburn
omeprazole-magnesium	gastroesophageal reflux disease (GERD)
omeprazole-magnesium	heartburn
ondansetron	nausea
ondansetron	vomiting
opipramol	generalized anxiety disorder (GAD)
orbifloxacin	urinary tract infections
oritavancin	skin infections
orlistat	weight-loss aid
ormeloxifene	contraceptive
ornidazole	protozoan infection
orphenadrine	muscle pain
oseltamivir-carboxylate	influenza A virus infection
oseltamivir-phosphate	influenza A virus infection
osimertinib	non-small cell lung cancer (NSCLC)
ospemifene	vaginal atrophy
ospemifene	dyspareunia
ospemifene	menopause
otilonium	irritable bowel syndrome
ouabain	hypertension
ouabain	cardiac arrythmia
oxacillin	staphylococcal infections
oxaliplatin	colorectal cancer
oxantel	gastrointestinal parasites
oxaprozin	osteoarthritis
oxaprozin	rheumatoid arthritis
oxatomide	allergic rhinitis
oxcarbazepine	seizures
oxelaidin	cough suppressant
oxethazaine	local anesthetic
oxfendazole	lungworms
oxfendazole	tapeworm
oxfendazole	gastrointestinal roundworms
oxibendazole	strongyles
oxiconazole	tinea pedis
oxiconazole	tinea cruris
oxiconazole	tinea corporis
oxiracetam	senile dementia
oxolamine	cough suppressant
oxprenolol	angina pectoris
oxprenolol	hypertension
oxprenolol	cardiac arrythmia
oxybenzone	sunscreen lotion
oxybuprocaine	local anesthetic
oxybutynin	urinary incontinence
oxyclozanide	fascioliasis
oxyfedrine	angina pectoris
oxymetazoline	nasal congestion
oxyphencyclimine	peptic ulcer disease (PUD)
oxyphenonium	peptic ulcer disease (PUD)
oxyquinoline	cosmetic
oxytetracycline	chlamydia
oxytetracycline	urinary tract infections
oxytetracycline	skin infections
oxytetracycline	ear infections
oxytetracycline	gonorrhea
oxytetracycline	urethritis
oxytetracycline	Lyme disease
oxytocin	labor induction
ozagrel	stroke
paclitaxel	ovarian cancer
paclitaxel	breast cancer
paclitaxel	non-small cell lung cancer (NSCLC)
palbociclib	breast cancer
