drug.name	pathway
 ha-966-(s)-(-)	Long-term potentiation
 haloperidol	Long-term potentiation
 homoquinolinic-acid	Long-term potentiation
 hydroxyfasudil	Long-term potentiation
 i-cbp-112	Long-term potentiation
 ibotenic-acid	Long-term potentiation
 ibutilide	Long-term potentiation
 idra-21	Long-term potentiation
 iem1460	Long-term potentiation
 iem1754	Long-term potentiation
 ifenprodil	Long-term potentiation
 ingenol-mebutate	Long-term potentiation
 jnj-16259685	Long-term potentiation
 k-ras(g12c)-inhibitor-12	Long-term potentiation
 kainic-acid	Long-term potentiation
 kg-5	Long-term potentiation
 kn-62	Long-term potentiation
 kn-93	Long-term potentiation
 kynurenic-acid	Long-term potentiation
 l-689560	Long-term potentiation
 l-701252	Long-term potentiation
 l-701324	Long-term potentiation
 l-aspartic-acid	Long-term potentiation
 l-cysteinesulfinic-acid	Long-term potentiation
 l-glutamic-acid	Long-term potentiation
 l-quisqualic-acid	Long-term potentiation
 lacidipine	Long-term potentiation
 lonafarnib	Long-term potentiation
 loperamide	Long-term potentiation
 lsn-2463359	Long-term potentiation
 ly215490	Long-term potentiation
 ly294002	Long-term potentiation
 ly3009120	Long-term potentiation
 ly404187	Long-term potentiation
 ly456236	Long-term potentiation
 m-3m3fbs	Long-term potentiation
 manidipine	Long-term potentiation
 mavoglurant	Long-term potentiation
 mek1-2-inhibitor	Long-term potentiation
 melatonin	Long-term potentiation
 metharbital	Long-term potentiation
 methoxyflurane	Long-term potentiation
 mibampator	Long-term potentiation
 mibefradil	Long-term potentiation
 midafotel	Long-term potentiation
 midostaurin	Long-term potentiation
 ml786	Long-term potentiation
 mpep	Long-term potentiation
 myricitrin	Long-term potentiation
 nbqx	Long-term potentiation
 nifedipine	Long-term potentiation
 nilvadipine	Long-term potentiation
 nisoldipine	Long-term potentiation
 nmda	Long-term potentiation
 nobiletin	Long-term potentiation
 olomoucine	Long-term potentiation
 otilonium	Long-term potentiation
 pd-0325901	Long-term potentiation
 pd-184352	Long-term potentiation
 pd-198306	Long-term potentiation
 pd-98059	Long-term potentiation
 perphenazine	Long-term potentiation
 perzinfotel	Long-term potentiation
 phccc	Long-term potentiation
 pimozide	Long-term potentiation
 pinaverium	Long-term potentiation
 piracetam	Long-term potentiation
 plx4720	Long-term potentiation
 plx8394	Long-term potentiation
 pranidipine	Long-term potentiation
 primidone	Long-term potentiation
 purvalanol-a	Long-term potentiation
 purvalanol-b	Long-term potentiation
 raf265	Long-term potentiation
 ravoxertinib	Long-term potentiation
 refametinib	Long-term potentiation
 regorafenib	Long-term potentiation
 remacemide	Long-term potentiation
 reversine	Long-term potentiation
 ro-04-5595	Long-term potentiation
 ro-25-6981	Long-term potentiation
 ro-4987655	Long-term potentiation
 ro-5126766	Long-term potentiation
 ro-67-7476	Long-term potentiation
 rufinamide	Long-term potentiation
 s18986	Long-term potentiation
 sb-202190	Long-term potentiation
 sb-203580	Long-term potentiation
 sb-590885	Long-term potentiation
 sc-10	Long-term potentiation
 sc-9	Long-term potentiation
 sdz-220-040	Long-term potentiation
 sdz-220-581	Long-term potentiation
 selfotel	Long-term potentiation
 selumetinib	Long-term potentiation
 sevoflurane	Long-term potentiation
 sgc-cbp30	Long-term potentiation
 sib-1757	Long-term potentiation
 sib-1893	Long-term potentiation
 snap-5089	Long-term potentiation
 sorafenib	Long-term potentiation
 sotrastaurin	Long-term potentiation
 spermine	Long-term potentiation
 spironolactone	Long-term potentiation
 sq-22536	Long-term potentiation
 sym-2206	Long-term potentiation
 tak-632	Long-term potentiation
 tak-733	Long-term potentiation
 talampanel	Long-term potentiation
 tamoxifen	Long-term potentiation
 tcn201	Long-term potentiation
 tetrazol-5-yl-glycine-(rs)	Long-term potentiation
 tic10	Long-term potentiation
 topiramate	Long-term potentiation
 trametinib	Long-term potentiation
 traxoprodil	Long-term potentiation
 trifluoperazine	Long-term potentiation
 u-0126	Long-term potentiation
 vemurafenib	Long-term potentiation
 verapamil	Long-term potentiation
 vitamin-e	Long-term potentiation
 vu0357121	Long-term potentiation
 vu0360172	Long-term potentiation
 vu1545	Long-term potentiation
 vu29	Long-term potentiation
 vx-11e	Long-term potentiation
 y-27632	Long-term potentiation
 ym-298198-desmethyl	Long-term potentiation
 ym-298198	Long-term potentiation
 zaldaride	Long-term potentiation
 zm-336372	Long-term potentiation
4|5|6|7-tetrabromobenzotriazole	Longevity regulating pathway
 4e1rcat	Longevity regulating pathway
 4egi-1	Longevity regulating pathway
 4sc-202	Longevity regulating pathway
 a-366	Longevity regulating pathway
 a-674563	Longevity regulating pathway
 a66	Longevity regulating pathway
 acalisib	Longevity regulating pathway
 acetyl-farnesyl-cysteine	Longevity regulating pathway
 acetylcysteine	Longevity regulating pathway
 acy-1215	Longevity regulating pathway
 adenosine-phosphate	Longevity regulating pathway
 adenosine-triphosphate	Longevity regulating pathway
 adiporon	Longevity regulating pathway
 ag-1024	Longevity regulating pathway
 alpelisib	Longevity regulating pathway
 amg-319	Longevity regulating pathway
 amg319	Longevity regulating pathway
 aminophylline	Longevity regulating pathway
 andrographolide	Longevity regulating pathway
 ap1903	Longevity regulating pathway
 api-1	Longevity regulating pathway
 apr-246	Longevity regulating pathway
 ar-42	Longevity regulating pathway
 arglabin	Longevity regulating pathway
 arq-092	Longevity regulating pathway
 arsenic-trioxide	Longevity regulating pathway
 as-604850	Longevity regulating pathway
 aspirin	Longevity regulating pathway
 at13148	Longevity regulating pathway
 at7867	Longevity regulating pathway
 az20	Longevity regulating pathway
 azd2014	Longevity regulating pathway
 azd3463	Longevity regulating pathway
 azd4547	Longevity regulating pathway
 azd5363	Longevity regulating pathway
 azd6482	Longevity regulating pathway
 azd8055	Longevity regulating pathway
 azd8186	Longevity regulating pathway
 azd8835	Longevity regulating pathway
 badge	Longevity regulating pathway
 balaglitazone	Longevity regulating pathway
 balsalazide	Longevity regulating pathway
 bam7	Longevity regulating pathway
 bardoxolone-methyl	Longevity regulating pathway
 bardoxolone	Longevity regulating pathway
 bax-channel-blocker	Longevity regulating pathway
 bay-11-7082	Longevity regulating pathway
 belinostat	Longevity regulating pathway
 beta-hydroxy-beta-methylbutyrate	Longevity regulating pathway
 bezafibrate	Longevity regulating pathway
 bgt226	Longevity regulating pathway
 bicyclol	Longevity regulating pathway
 bisindolylmaleimide-ix	Longevity regulating pathway
 bisphenol-a	Longevity regulating pathway
 bix-01294	Longevity regulating pathway
 bms-536924	Longevity regulating pathway
 bms-754807	Longevity regulating pathway
 bortezomib	Longevity regulating pathway
 brd4770	Longevity regulating pathway
 bucladesine	Longevity regulating pathway
 buparlisib	Longevity regulating pathway
 c11-acetate	Longevity regulating pathway
 caffeic-acid-phenethyl-ester	Longevity regulating pathway
 caffeine	Longevity regulating pathway
 camkii-in-1	Longevity regulating pathway
 canertinib	Longevity regulating pathway
 carbendazim	Longevity regulating pathway
 cc-115	Longevity regulating pathway
 cc-223	Longevity regulating pathway
 ceritinib	Longevity regulating pathway
 ch5132799	Longevity regulating pathway
 chrysophanic-acid	Longevity regulating pathway
 ciglitazone	Longevity regulating pathway
 cinpa-1	Longevity regulating pathway
 colforsin	Longevity regulating pathway
 compound-401	Longevity regulating pathway
 copanlisib	Longevity regulating pathway
 cudc-907	Longevity regulating pathway
 cw-008	Longevity regulating pathway
 dacinostat	Longevity regulating pathway
 darglitazone	Longevity regulating pathway
 deforolimus	Longevity regulating pathway
 deltarasin	Longevity regulating pathway
 dexfosfoserine	Longevity regulating pathway
 diclofenac	Longevity regulating pathway
 dorsomorphin	Longevity regulating pathway
 dovitinib	Longevity regulating pathway
 duvelisib	Longevity regulating pathway
 edaglitazone	Longevity regulating pathway
 efatutazone	Longevity regulating pathway
 elafibranor	Longevity regulating pathway
 elesclomol	Longevity regulating pathway
 ellagic-acid	Longevity regulating pathway
 entinostat	Longevity regulating pathway
 enzastaurin	Longevity regulating pathway
 ephedrine-(racemic)	Longevity regulating pathway
 etp-45658	Longevity regulating pathway
 euk-134	Longevity regulating pathway
 everolimus	Longevity regulating pathway
 ex-527	Longevity regulating pathway
 farnesyl-thiosalicylic-acid-amide	Longevity regulating pathway
 fasudil	Longevity regulating pathway
 fh-535	Longevity regulating pathway
 fomepizole	Longevity regulating pathway
 forskolin	Longevity regulating pathway
 gdc-0068	Longevity regulating pathway
 gdc-0349	Longevity regulating pathway
 gdc-0941	Longevity regulating pathway
 gdc-0980	Longevity regulating pathway
 genistein	Longevity regulating pathway
 gentamycin	Longevity regulating pathway
 givinostat	Longevity regulating pathway
 glipizide	Longevity regulating pathway
 gsk1838705a	Longevity regulating pathway
 gsk1904529a	Longevity regulating pathway
 gsk2110183	Longevity regulating pathway
 gsk2126458	Longevity regulating pathway
 gsk2636771	Longevity regulating pathway
 gsk690693	Longevity regulating pathway
 gw-1929	Longevity regulating pathway
 gw-9662	Longevity regulating pathway
 h-89	Longevity regulating pathway
 hemomex-s	Longevity regulating pathway
 hexamethylenebisacetamide	Longevity regulating pathway
 hydroxyfasudil	Longevity regulating pathway
 icosapent	Longevity regulating pathway
 id-1101	Longevity regulating pathway
 idasanutlin	Longevity regulating pathway
 idelalisib	Longevity regulating pathway
 indeglitazar	Longevity regulating pathway
 indomethacin	Longevity regulating pathway
 jnj-26481585	Longevity regulating pathway
 k-ras(g12c)-inhibitor-12	Longevity regulating pathway
 kn-62	Longevity regulating pathway
 ku-0063794	Longevity regulating pathway
 linoleic-acid	Longevity regulating pathway
 linsitinib	Longevity regulating pathway
 lonafarnib	Longevity regulating pathway
 lovastatin	Longevity regulating pathway
 lupanine	Longevity regulating pathway
 ly2584702	Longevity regulating pathway
 ly294002	Longevity regulating pathway
 ly3023414	Longevity regulating pathway
 magnolol	Longevity regulating pathway
 mc1568	Longevity regulating pathway
 merck60	Longevity regulating pathway
 mesalazine	Longevity regulating pathway
 metacresol	Longevity regulating pathway
 metformin	Longevity regulating pathway
 mifobate	Longevity regulating pathway
 mitiglinide	Longevity regulating pathway
 mk-2206	Longevity regulating pathway
 mln0128	Longevity regulating pathway
 mln1117	Longevity regulating pathway
 mocetinostat	Longevity regulating pathway
 naloxone	Longevity regulating pathway
 nateglinide	Longevity regulating pathway
 nexturastat-a	Longevity regulating pathway
 nfkb-activation-inhibitor-ii	Longevity regulating pathway
 nky-80	Longevity regulating pathway
 npc-15199	Longevity regulating pathway
 nsc-3852	Longevity regulating pathway
 nt157	Longevity regulating pathway
 ntzdpa	Longevity regulating pathway
 nutlin-3	Longevity regulating pathway
 nvp-adw742	Longevity regulating pathway
 nvp-aew541	Longevity regulating pathway
 nvp-bez235	Longevity regulating pathway
 nvp-tae684	Longevity regulating pathway
 osi-027	Longevity regulating pathway
 palomid-529	Longevity regulating pathway
 panobinostat	Longevity regulating pathway
 parthenolide-(-)	Longevity regulating pathway
 parthenolide-(alternate-stereo)	Longevity regulating pathway
 pci-24781	Longevity regulating pathway
 pci-34051	Longevity regulating pathway
 pd-98059	Longevity regulating pathway
 perifosine	Longevity regulating pathway
 pf-04691502	Longevity regulating pathway
 pf-05212384	Longevity regulating pathway
 pf-4708671	Longevity regulating pathway
 pha-767491	Longevity regulating pathway
 phenformin	Longevity regulating pathway
 phenylbutyrate	Longevity regulating pathway
 phikan-083	Longevity regulating pathway
 pht-427	Longevity regulating pathway
 pi-103	Longevity regulating pathway
 pifithrin-alpha	Longevity regulating pathway
 pifithrin-cyclic	Longevity regulating pathway
 pifithrin-mu	Longevity regulating pathway
 pik-293	Longevity regulating pathway
 pik-294	Longevity regulating pathway
 pik-75	Longevity regulating pathway
 pioglitazone	Longevity regulating pathway
 pivanex	Longevity regulating pathway
 pki-179	Longevity regulating pathway
 podophyllotoxin	Longevity regulating pathway
 pp-121	Longevity regulating pathway
 pp242	Longevity regulating pathway
 pq-401	Longevity regulating pathway
 pranlukast	Longevity regulating pathway
 pyroxamide	Longevity regulating pathway
 pyrrolidine-dithiocarbamate	Longevity regulating pathway
 repaglinide	Longevity regulating pathway
 resminostat	Longevity regulating pathway
 rg2833	Longevity regulating pathway
 romidepsin	Longevity regulating pathway
 rosiglitazone	Longevity regulating pathway
 s26948	Longevity regulating pathway
 sar-245409	Longevity regulating pathway
 saroglitazar	Longevity regulating pathway
 sb-202190	Longevity regulating pathway
 sb-203580	Longevity regulating pathway
 sb-2343	Longevity regulating pathway
 sb-415286	Longevity regulating pathway
 sb-747651a	Longevity regulating pathway
 sb-939	Longevity regulating pathway
 sbha	Longevity regulating pathway
 scriptaid	Longevity regulating pathway
 sirolimus	Longevity regulating pathway
 sirtinol	Longevity regulating pathway
 sodium-butyrate	Longevity regulating pathway
 sp-100030	Longevity regulating pathway
 splitomycin	Longevity regulating pathway
 sq-22536	Longevity regulating pathway
 sr-1664	Longevity regulating pathway
 srt1720	Longevity regulating pathway
 srt2104	Longevity regulating pathway
 sulfasalazine	Longevity regulating pathway
 t-0070907	Longevity regulating pathway
 tacedinaline	Longevity regulating pathway
 taselisib	Longevity regulating pathway
 taxifolin	Longevity regulating pathway
 tc-h-106	Longevity regulating pathway
 telmisartan	Longevity regulating pathway
 temsirolimus	Longevity regulating pathway
 tenovin-1	Longevity regulating pathway
 tenovin-6	Longevity regulating pathway
 tesaglitazar	Longevity regulating pathway
 tetraethylenepentamine	Longevity regulating pathway
 tg100-115	Longevity regulating pathway
 tgx-221	Longevity regulating pathway
 tic10	Longevity regulating pathway
 torin-1	Longevity regulating pathway
 torin-2	Longevity regulating pathway
 trichostatin-a	Longevity regulating pathway
 triciribine	Longevity regulating pathway
 triflusal	Longevity regulating pathway
 triptolide	Longevity regulating pathway
 troglitazone	Longevity regulating pathway
 u-0126	Longevity regulating pathway
 uf-010	Longevity regulating pathway
 unc0224	Longevity regulating pathway
 unc0321	Longevity regulating pathway
 unc0631	Longevity regulating pathway
 unc0638	Longevity regulating pathway
 unc0642	Longevity regulating pathway
 unc0646	Longevity regulating pathway
 unc0737	Longevity regulating pathway
 uprosertib	Longevity regulating pathway
 valproic-acid	Longevity regulating pathway
 ve-822	Longevity regulating pathway
 ver-155008	Longevity regulating pathway
 vlx600	Longevity regulating pathway
 vorinostat	Longevity regulating pathway
 voxtalisib	Longevity regulating pathway
 way-600	Longevity regulating pathway
 wortmannin	Longevity regulating pathway
 wye-125132	Longevity regulating pathway
 wye-354	Longevity regulating pathway
 wye-687	Longevity regulating pathway
 xl147	Longevity regulating pathway
 xl228	Longevity regulating pathway
 xl388	Longevity regulating pathway
 y-27632	Longevity regulating pathway
 zln024	Longevity regulating pathway
 zstk-474	Longevity regulating pathway
3-deazaneplanocin-a	Lysine degradation
 a-366	Lysine degradation
 alda-1	Lysine degradation
 az505	Lysine degradation
 azd4282	Lysine degradation
 bix-01294	Lysine degradation
 brd4770	Lysine degradation
 ci-976	Lysine degradation
 coenzyme-a	Lysine degradation
 coenzyme-i	Lysine degradation
 cpi-169	Lysine degradation
 cpi-360	Lysine degradation
 cvt-10216	Lysine degradation
 daidzin	Lysine degradation
 disulfiram	Lysine degradation
 ei1	Lysine degradation
 epz-5676	Lysine degradation
 epz004777	Lysine degradation
 epz005687	Lysine degradation
 epz011989	Lysine degradation
 flavin-adenine-dinucleotide	Lysine degradation
 gsk2816126	Lysine degradation
 gsk503	Lysine degradation
 guanidine	Lysine degradation
 l-alanine	Lysine degradation
 l-glutamic-acid	Lysine degradation
 mc-1	Lysine degradation
 meldonium	Lysine degradation
 nadide	Lysine degradation
 succinic-acid	Lysine degradation
 sulfasalazine	Lysine degradation
 tazemetostat	Lysine degradation
 unc0224	Lysine degradation
 unc0321	Lysine degradation
 unc0631	Lysine degradation
 unc0638	Lysine degradation
 unc0642	Lysine degradation
 unc0646	Lysine degradation
 unc0737	Lysine degradation
 unc1999	Lysine degradation
adaprev	Lysosome
 af38469	Lysosome
 aloxistatin	Lysosome
 balicatib	Lysosome
 bipenamol	Lysosome
 boceprevir	Lysosome
 castanospermine	Lysosome
 cathepsin-inhibitor-1	Lysosome
 chlorpromazine	Lysosome
 delanzomib	Lysosome
 desipramine	Lysosome
 e-64	Lysosome
 fagomine	Lysosome
 felbinac	Lysosome
 l-cystine	Lysosome
 loxistatin-acid	Lysosome
 ly3000328	Lysosome
 miglitol	Lysosome
 n-acetyl-d-glucosamine	Lysosome
 nn-dnj	Lysosome
 odanacatib	Lysosome
 oseltamivir-phosphate	Lysosome
 pepstatin	Lysosome
 s-methylcysteine	Lysosome
 telaprevir	Lysosome
 vby-825	Lysosome
2|5-furandimethanol	Malaria
 3|3'-diindolylmethane	Malaria
 a205804	Malaria
 aceneuramic-acid	Malaria
 alectinib	Malaria
 altiratinib	Malaria
 amg-208	Malaria
 amg-337	Malaria
 amg458	Malaria
 amrinone	Malaria
 amuvatinib	Malaria
 andrographolide	Malaria
 apy0201	Malaria
 baicalein	Malaria
 bergenin	Malaria
 bindarit	Malaria
 birt-377	Malaria
 bms-536924	Malaria
 bms-587101	Malaria
 bms-688521	Malaria
 bms-777607	Malaria
 bms-817378	Malaria
 c34	Malaria
 cabozantinib	Malaria
 carboxyamidotriazole	Malaria
 cpi-1189	Malaria
 crizotinib	Malaria
 cu-t12-9	Malaria
 d-4476	Malaria
 danazol	Malaria
 diacerein	Malaria
 disodium-sebacate	Malaria
 efaproxiral	Malaria
 emd-1214063	Malaria
 ephedrine-(racemic)	Malaria
 epinephrine	Malaria
 f351	Malaria
 foretinib	Malaria
 gallic-acid	Malaria
 glucosamine	Malaria
 glycitein	Malaria
 golvatinib	Malaria
 hexylene-glycol	Malaria
 hyaluronic-acid	Malaria
 hydroxychloroquine	Malaria
 hypoestoxide	Malaria
 ibudilast	Malaria
 inc-280	Malaria
 jnj-38877605	Malaria
 jte-607	Malaria
 kf-38789	Malaria
 lauric-acid	Malaria
 lenalidomide	Malaria
 ligustilide	Malaria
 lovastatin	Malaria
 ly2801653	Malaria
 mgcd-265	Malaria
 mimosine	Malaria
 mk-2461	Malaria
 mk-8033	Malaria
 naloxone	Malaria
 nvp-bvu972	Malaria
 olsalazine	Malaria
 paclitaxel	Malaria
 pentoxifylline	Malaria
 pf-04217903	Malaria
 pha-665752	Malaria
 pirfenidone	Malaria
 polydatin	Malaria
 pranlukast	Malaria
 resatorvid	Malaria
 rivanicline	Malaria
 rs-504393	Malaria
 rwj-50271	Malaria
 savolitinib	Malaria
 sb-203580	Malaria
 sgx523	Malaria
 simvastatin	Malaria
 st-2825	Malaria
 sta-5326	Malaria
 su11274	Malaria
 succinobucol	Malaria
 talmapimod	Malaria
 tanshinone-i	Malaria
 tanshinone-iia	Malaria
 thalidomide	Malaria
 tivantinib	Malaria
 trofinetide	Malaria
 vgx-1027	Malaria
 vx-702	Malaria
n-acetyl-d-glucosamine	Mannose type O-glycan biosynthesis
4|5|6|7-tetrabromobenzotriazole	MAPK signaling pathway
 7-hydroxystaurosporine	MAPK signaling pathway
 a-674563	MAPK signaling pathway
 abt-639	MAPK signaling pathway
 ac-710	MAPK signaling pathway
 acetylcysteine	MAPK signaling pathway
 actb-1003	MAPK signaling pathway
 adenosine-triphosphate	MAPK signaling pathway
 aee788	MAPK signaling pathway
 afatinib	MAPK signaling pathway
 ag-1024	MAPK signaling pathway
 ag-490	MAPK signaling pathway
 agmatine	MAPK signaling pathway
 al-8697	MAPK signaling pathway
 alectinib	MAPK signaling pathway
 altiratinib	MAPK signaling pathway
 alvocidib	MAPK signaling pathway
 amg-208	MAPK signaling pathway
 amg-337	MAPK signaling pathway
 amg-548	MAPK signaling pathway
 amg-925	MAPK signaling pathway
 amg458	MAPK signaling pathway
 aminosalicylate	MAPK signaling pathway
 amiodarone	MAPK signaling pathway
 amitriptyline	MAPK signaling pathway
 amlexanox	MAPK signaling pathway
 amlodipine	MAPK signaling pathway
 amrinone	MAPK signaling pathway
 amuvatinib	MAPK signaling pathway
 amygdalin	MAPK signaling pathway
 ana-12	MAPK signaling pathway
 anandamide	MAPK signaling pathway
 andrographolide	MAPK signaling pathway
 anlotinib	MAPK signaling pathway
 antagonist-g	MAPK signaling pathway
 anthraquinone	MAPK signaling pathway
 ap26113	MAPK signaling pathway
 apatinib	MAPK signaling pathway
 apck-110	MAPK signaling pathway
 api-1	MAPK signaling pathway
 apr-246	MAPK signaling pathway
 arctigenin	MAPK signaling pathway
 arglabin	MAPK signaling pathway
 arq-092	MAPK signaling pathway
 arry-334543	MAPK signaling pathway
 arsenic-trioxide	MAPK signaling pathway
 as-2444697	MAPK signaling pathway
 as-703026	MAPK signaling pathway
 aspirin	MAPK signaling pathway
 ast-1306	MAPK signaling pathway
 at-9283	MAPK signaling pathway
 at13148	MAPK signaling pathway
 at7867	MAPK signaling pathway
 auranofin	MAPK signaling pathway
 av-412	MAPK signaling pathway
 axitinib	MAPK signaling pathway
 az-10417808	MAPK signaling pathway
 az-628	MAPK signaling pathway
 az5104	MAPK signaling pathway
 azd3264	MAPK signaling pathway
 azd3463	MAPK signaling pathway
 azd3759	MAPK signaling pathway
 azd4547	MAPK signaling pathway
 azd5363	MAPK signaling pathway
 azd8330	MAPK signaling pathway
 azd8931	MAPK signaling pathway
 azelnidipine	MAPK signaling pathway
 baicalein	MAPK signaling pathway
 bay-11-7082	MAPK signaling pathway
 bay-k-8644-(s)-(-)	MAPK signaling pathway
 benidipine	MAPK signaling pathway
 bergenin	MAPK signaling pathway
 bi-78d3	MAPK signaling pathway
 bi-847325	MAPK signaling pathway
 bi-d1870	MAPK signaling pathway
 bibu-1361	MAPK signaling pathway
 bibx-1382	MAPK signaling pathway
 bicyclol	MAPK signaling pathway
 binimetinib	MAPK signaling pathway
 bisindolylmaleimide-ix	MAPK signaling pathway
 bix-02188	MAPK signaling pathway
 bix-02189	MAPK signaling pathway
 blu9931	MAPK signaling pathway
 bms-345541	MAPK signaling pathway
 bms-536924	MAPK signaling pathway
 bms-599626	MAPK signaling pathway
 bms-690514	MAPK signaling pathway
 bms-754807	MAPK signaling pathway
 bms-777607	MAPK signaling pathway
 bms-817378	MAPK signaling pathway
 bortezomib	MAPK signaling pathway
 bosutinib	MAPK signaling pathway
 brd7389	MAPK signaling pathway
 brigatinib	MAPK signaling pathway
 brivanib-alaninate	MAPK signaling pathway
 brivanib	MAPK signaling pathway
 bucladesine	MAPK signaling pathway
 bx-795	MAPK signaling pathway
 bx-912	MAPK signaling pathway
 c-1	MAPK signaling pathway
 cabozantinib	MAPK signaling pathway
 caffeic-acid-phenethyl-ester	MAPK signaling pathway
 camkii-in-1	MAPK signaling pathway
 canertinib	MAPK signaling pathway
 carbendazim	MAPK signaling pathway
 casin	MAPK signaling pathway
 cc-401	MAPK signaling pathway
 ccg-1423	MAPK signaling pathway
 cediranib	MAPK signaling pathway
 cep-32496	MAPK signaling pathway
 ceritinib	MAPK signaling pathway
 cgp-52411	MAPK signaling pathway
 cgp-53353	MAPK signaling pathway
 cgp-57380	MAPK signaling pathway
 ch-5183284	MAPK signaling pathway
 chir-99021	MAPK signaling pathway
 chrysophanic-acid	MAPK signaling pathway
 cid-5458317	MAPK signaling pathway
 cilnidipine	MAPK signaling pathway
 cleviprex	MAPK signaling pathway
 cmpd-1	MAPK signaling pathway
 cnx-2006	MAPK signaling pathway
 cobimetinib	MAPK signaling pathway
 cot-inhibitor-1	MAPK signaling pathway
 cot-inhibitor-2	MAPK signaling pathway
 cp-673451	MAPK signaling pathway
 cp-724714	MAPK signaling pathway
 cpi-1189	MAPK signaling pathway
 crenolanib	MAPK signaling pathway
 crizotinib	MAPK signaling pathway
 cudc-101	MAPK signaling pathway
 cw-008	MAPK signaling pathway
 cyc116	MAPK signaling pathway
 cyclosporin-a	MAPK signaling pathway
 d-4476	MAPK signaling pathway
 dabrafenib	MAPK signaling pathway
 dacomitinib	MAPK signaling pathway
 danusertib	MAPK signaling pathway
 dasatinib	MAPK signaling pathway
 dbeq	MAPK signaling pathway
 dcc-2618	MAPK signaling pathway
 deltarasin	MAPK signaling pathway
 dexfosfoserine	MAPK signaling pathway
 dextromethorphan	MAPK signaling pathway
 diacerein	MAPK signaling pathway
 diltiazem	MAPK signaling pathway
 dmh4	MAPK signaling pathway
 docetaxel	MAPK signaling pathway
 doramapimod	MAPK signaling pathway
 dorsomorphin	MAPK signaling pathway
 dovitinib	MAPK signaling pathway
 dronedarone	MAPK signaling pathway
 egf816	MAPK signaling pathway
 ehop-016	MAPK signaling pathway
 elesclomol	MAPK signaling pathway
 ellagic-acid	MAPK signaling pathway
 emd-1214063	MAPK signaling pathway
 emricasan	MAPK signaling pathway
 encorafenib	MAPK signaling pathway
 enmd-2076	MAPK signaling pathway
 entrectinib	MAPK signaling pathway
 enzastaurin	MAPK signaling pathway
 eo-1428	MAPK signaling pathway
 ephedrine-(racemic)	MAPK signaling pathway
 epinephrine	MAPK signaling pathway
 erbstatin-analog	MAPK signaling pathway
 erdafitinib	MAPK signaling pathway
 erk5-in-1	MAPK signaling pathway
 erlotinib	MAPK signaling pathway
 ethosuximide	MAPK signaling pathway
 ew-7197	MAPK signaling pathway
 f351	MAPK signaling pathway
 farnesyl-thiosalicylic-acid-amide	MAPK signaling pathway
 fasudil	MAPK signaling pathway
 ferb-033	MAPK signaling pathway
 flumatinib	MAPK signaling pathway
 flunarizine	MAPK signaling pathway
 flurizan	MAPK signaling pathway
 fluspirilene	MAPK signaling pathway
 fluticasone-propionate	MAPK signaling pathway
 foretinib	MAPK signaling pathway
 fpl-64176	MAPK signaling pathway
 fr-180204	MAPK signaling pathway
 frax486	MAPK signaling pathway
 fruquintinib	MAPK signaling pathway
 gabapentin-enacarbil	MAPK signaling pathway
 gabapentin	MAPK signaling pathway
 gdc-0068	MAPK signaling pathway
 gdc-0879	MAPK signaling pathway
 gdc-0994	MAPK signaling pathway
 gefitinib	MAPK signaling pathway
 gentamycin	MAPK signaling pathway
 gilteritinib	MAPK signaling pathway
 glucosamine	MAPK signaling pathway
 glycitein	MAPK signaling pathway
 gnf-5837	MAPK signaling pathway
 go-6983	MAPK signaling pathway
 golvatinib	MAPK signaling pathway
 gsk1838705a	MAPK signaling pathway
 gsk1904529a	MAPK signaling pathway
 gsk2110183	MAPK signaling pathway
 gsk690693	MAPK signaling pathway
 gtp-14564	MAPK signaling pathway
 gw-2580	MAPK signaling pathway
 gw-441756	MAPK signaling pathway
 gw-5074	MAPK signaling pathway
 gw-583340	MAPK signaling pathway
 gw-788388	MAPK signaling pathway
 h-89	MAPK signaling pathway
 hesperidin	MAPK signaling pathway
 hexamethylenebisacetamide	MAPK signaling pathway
 hexylene-glycol	MAPK signaling pathway
 hki-357	MAPK signaling pathway
 hydroxyfasudil	MAPK signaling pathway
 hypoestoxide	MAPK signaling pathway
 ibudilast	MAPK signaling pathway
 ibutilide	MAPK signaling pathway
 icotinib	MAPK signaling pathway
 id-1101	MAPK signaling pathway
 idasanutlin	MAPK signaling pathway
 ikk-16	MAPK signaling pathway
 ikk-2-inhibitor-v	MAPK signaling pathway
 ikk-2-inhibitor	MAPK signaling pathway
 imatinib	MAPK signaling pathway
 inc-280	MAPK signaling pathway
 inca-6	MAPK signaling pathway
 ingenol-mebutate	MAPK signaling pathway
 ipa-3	MAPK signaling pathway
 irbesartan	MAPK signaling pathway
 isradipine	MAPK signaling pathway
 itd-1	MAPK signaling pathway
 jnj-38877605	MAPK signaling pathway
 jte-607	MAPK signaling pathway
 jx-401	MAPK signaling pathway
 k-ras(g12c)-inhibitor-12	MAPK signaling pathway
 kartogenin	MAPK signaling pathway
 kg-5	MAPK signaling pathway
 ki-20227	MAPK signaling pathway
 ki-8751	MAPK signaling pathway
 kn-62	MAPK signaling pathway
 krn-633	MAPK signaling pathway
 kw-2449	MAPK signaling pathway
 lacidipine	MAPK signaling pathway
 lapatinib	MAPK signaling pathway
 larotrectinib	MAPK signaling pathway
 lenalidomide	MAPK signaling pathway
 lenvatinib	MAPK signaling pathway
